frequency,raw,error,smoothed,error_smoothed,equalization,fixed_band_eq,equalized_raw,equalized_smoothed,target
473.40,-2.89,-1.48,-2.89,-1.49,1.49,3.11,-1.40,-1.41,-1.41
478.13,-2.95,-1.57,-2.95,-1.57,1.57,3.16,-1.38,-1.38,-1.38
482.91,-3.00,-1.64,-3.00,-1.64,1.65,3.21,-1.36,-1.35,-1.36
487.74,-3.05,-1.72,-3.05,-1.72,1.72,3.25,-1.33,-1.33,-1.33
492.62,-3.10,-1.79,-3.11,-1.80,1.80,3.28,-1.30,-1.31,-1.31
497.55,-3.16,-1.88,-3.16,-1.88,1.87,3.31,-1.29,-1.28,-1.28
502.52,-3.21,-1.96,-3.21,-1.96,1.95,3.32,-1.26,-1.26,-1.25
507.55,-3.25,-2.02,-3.26,-2.03,2.02,3.33,-1.23,-1.24,-1.23
512.62,-3.30,-2.09,-3.30,-2.09,2.09,3.33,-1.21,-1.21,-1.21
517.75,-3.35,-2.15,-3.35,-2.15,2.16,3.33,-1.19,-1.19,-1.20
522.93,-3.39,-2.22,-3.39,-2.22,2.23,3.31,-1.16,-1.17,-1.17
528.16,-3.44,-2.29,-3.44,-2.29,2.30,3.29,-1.15,-1.14,-1.15
533.44,-3.48,-2.36,-3.48,-2.36,2.36,3.26,-1.12,-1.12,-1.12
538.77,-3.52,-2.43,-3.52,-2.43,2.43,3.23,-1.09,-1.09,-1.09
544.16,-3.57,-2.50,-3.57,-2.51,2.50,3.19,-1.07,-1.06,-1.07
549.60,-3.61,-2.58,-3.61,-2.58,2.58,3.14,-1.04,-1.04,-1.03
555.10,-3.66,-2.65,-3.66,-2.65,2.65,3.09,-1.01,-1.01,-1.01
560.65,-3.70,-2.71,-3.70,-2.72,2.72,3.04,-0.98,-0.99,-0.99
566.25,-3.75,-2.79,-3.75,-2.78,2.79,2.98,-0.97,-0.96,-0.96
571.92,-3.79,-2.85,-3.79,-2.85,2.85,2.91,-0.94,-0.94,-0.94
577.64,-3.83,-2.91,-3.83,-2.92,2.92,2.85,-0.91,-0.91,-0.92
583.41,-3.87,-2.99,-3.87,-2.98,2.99,2.78,-0.88,-0.88,-0.88
589.25,-3.91,-3.05,-3.91,-3.05,3.05,2.71,-0.86,-0.86,-0.86
595.14,-3.95,-3.11,-3.95,-3.12,3.12,2.64,-0.83,-0.84,-0.84
601.09,-4.00,-3.19,-4.00,-3.18,3.18,2.56,-0.82,-0.82,-0.81
607.10,-4.04,-3.24,-4.04,-3.24,3.24,2.48,-0.80,-0.80,-0.80
613.17,-4.08,-3.30,-4.08,-3.31,3.31,2.41,-0.77,-0.77,-0.78
619.30,-4.11,-3.37,-4.12,-3.37,3.37,2.33,-0.74,-0.75,-0.74
625.50,-4.15,-3.43,-4.15,-3.43,3.43,2.25,-0.72,-0.72,-0.72
631.75,-4.19,-3.49,-4.19,-3.49,3.49,2.17,-0.70,-0.70,-0.70
638.07,-4.22,-3.54,-4.22,-3.55,3.55,2.10,-0.67,-0.67,-0.68
644.45,-4.26,-3.62,-4.26,-3.61,3.61,2.02,-0.65,-0.65,-0.64
650.89,-4.29,-3.66,-4.29,-3.66,3.67,1.94,-0.62,-0.62,-0.63
657.40,-4.33,-3.72,-4.33,-3.73,3.72,1.87,-0.61,-0.61,-0.61
663.98,-4.36,-3.77,-4.36,-3.78,3.77,1.79,-0.59,-0.59,-0.59
670.62,-4.40,-3.84,-4.39,-3.83,3.82,1.72,-0.58,-0.58,-0.56
677.32,-4.41,-3.86,-4.41,-3.86,3.86,1.64,-0.55,-0.55,-0.55
684.10,-4.42,-3.89,-4.42,-3.89,3.90,1.57,-0.52,-0.53,-0.53
690.94,-4.43,-3.92,-4.43,-3.92,3.93,1.50,-0.50,-0.50,-0.51
697.85,-4.44,-3.95,-4.44,-3.96,3.96,1.42,-0.48,-0.49,-0.49
704.83,-4.46,-3.99,-4.45,-3.98,3.99,1.35,-0.48,-0.47,-0.47
711.87,-4.46,-4.01,-4.46,-4.01,4.01,1.29,-0.45,-0.45,-0.45
718.99,-4.46,-4.02,-4.46,-4.03,4.03,1.22,-0.43,-0.43,-0.44
726.18,-4.46,-4.04,-4.46,-4.04,4.05,1.15,-0.41,-0.41,-0.42
733.44,-4.46,-4.06,-4.46,-4.06,4.06,1.08,-0.40,-0.40,-0.40
740.78,-4.45,-4.06,-4.46,-4.08,4.07,1.02,-0.38,-0.39,-0.39
748.19,-4.45,-4.09,-4.44,-4.08,4.07,0.96,-0.38,-0.37,-0.36
755.67,-4.42,-4.08,-4.41,-4.07,4.06,0.89,-0.36,-0.35,-0.34
763.23,-4.36,-4.04,-4.37,-4.05,4.05,0.83,-0.31,-0.32,-0.32
770.86,-4.32,-4.01,-4.33,-4.02,4.03,0.77,-0.29,-0.30,-0.31
778.57,-4.28,-3.99,-4.28,-3.99,4.00,0.71,-0.28,-0.29,-0.29
786.35,-4.24,-3.97,-4.23,-3.96,3.96,0.65,-0.28,-0.28,-0.27
794.22,-4.17,-3.91,-4.17,-3.91,3.91,0.60,-0.26,-0.26,-0.26
802.16,-4.08,-3.84,-4.08,-3.84,3.85,0.54,-0.23,-0.23,-0.24
810.18,-3.98,-3.76,-3.99,-3.77,3.78,0.49,-0.21,-0.21,-0.22
818.28,-3.89,-3.69,-3.90,-3.70,3.69,0.43,-0.20,-0.20,-0.20
826.46,-3.80,-3.62,-3.79,-3.61,3.60,0.38,-0.20,-0.20,-0.18
834.73,-3.68,-3.51,-3.67,-3.50,3.49,0.33,-0.19,-0.18,-0.17
843.08,-3.52,-3.36,-3.53,-3.37,3.37,0.28,-0.15,-0.16,-0.16
851.51,-3.36,-3.22,-3.37,-3.23,3.24,0.23,-0.12,-0.13,-0.14
860.02,-3.21,-3.09,-3.21,-3.09,3.09,0.18,-0.12,-0.11,-0.12
868.62,-3.04,-2.94,-3.04,-2.94,2.94,0.14,-0.10,-0.10,-0.10
877.31,-2.87,-2.79,-2.86,-2.78,2.77,0.09,-0.10,-0.09,-0.08
886.08,-2.66,-2.60,-2.66,-2.60,2.60,0.05,-0.06,-0.07,-0.06
894.94,-2.45,-2.41,-2.46,-2.41,2.41,0.01,-0.04,-0.04,-0.04
903.89,-2.24,-2.22,-2.24,-2.22,2.23,-0.03,-0.02,-0.01,-0.02
912.93,-2.02,-2.02,-2.02,-2.02,2.03,-0.07,0.01,0.01,0.00
922.06,-1.80,-1.83,-1.80,-1.83,1.83,-0.10,0.03,0.03,0.03
931.28,-1.58,-1.63,-1.58,-1.63,1.62,-0.14,0.04,0.05,0.05
940.59,-1.35,-1.43,-1.35,-1.43,1.42,-0.17,0.07,0.07,0.08
950.00,-1.11,-1.21,-1.12,-1.22,1.22,-0.20,0.10,0.10,0.10
959.50,-0.89,-1.02,-0.89,-1.01,1.02,-0.23,0.12,0.13,0.13
969.09,-0.66,-0.80,-0.67,-0.81,0.82,-0.26,0.16,0.16,0.14
978.78,-0.45,-0.62,-0.45,-0.62,0.63,-0.28,0.18,0.18,0.17
988.57,-0.24,-0.44,-0.24,-0.44,0.45,-0.31,0.21,0.21,0.20
998.46,-0.03,-0.27,-0.03,-0.27,0.27,-0.33,0.24,0.24,0.24
1008.44,0.17,-0.11,0.17,-0.11,0.11,-0.34,0.28,0.28,0.28
1018.53,0.38,0.06,0.37,0.05,-0.05,-0.36,0.33,0.32,0.32
1028.71,0.56,0.20,0.56,0.20,-0.20,-0.38,0.35,0.36,0.36
1039.00,0.75,0.35,0.75,0.35,-0.35,-0.39,0.40,0.40,0.40
1049.39,0.93,0.49,0.93,0.49,-0.49,-0.40,0.44,0.44,0.44
1059.88,1.11,0.63,1.11,0.63,-0.62,-0.41,0.48,0.49,0.48
1070.48,1.29,0.77,1.29,0.76,-0.76,-0.42,0.53,0.53,0.52
1081.19,1.46,0.89,1.46,0.89,-0.89,-0.42,0.57,0.57,0.57
1092.00,1.63,1.01,1.63,1.01,-1.02,-0.43,0.61,0.62,0.62
1102.92,1.81,1.14,1.80,1.13,-1.15,-0.43,0.66,0.66,0.67
1113.95,1.98,1.26,1.98,1.26,-1.27,-0.43,0.70,0.70,0.72
1125.09,2.15,1.39,2.16,1.40,-1.40,-0.43,0.75,0.75,0.76
1136.34,2.34,1.55,2.34,1.54,-1.53,-0.43,0.81,0.80,0.79
1147.70,2.53,1.69,2.52,1.68,-1.67,-0.43,0.86,0.86,0.84
1159.18,2.71,1.81,2.71,1.82,-1.81,-0.43,0.90,0.91,0.90
1170.77,2.91,1.95,2.90,1.94,-1.95,-0.43,0.96,0.95,0.96
1182.48,3.10,2.08,3.10,2.08,-2.10,-0.42,1.00,1.00,1.02
1194.30,3.31,2.23,3.31,2.24,-2.25,-0.42,1.06,1.06,1.08
1206.25,3.53,2.41,3.53,2.41,-2.41,-0.41,1.12,1.12,1.12
1218.31,3.75,2.58,3.75,2.58,-2.57,-0.41,1.18,1.18,1.17
1230.49,3.97,2.75,3.97,2.74,-2.73,-0.41,1.24,1.23,1.22
1242.80,4.19,2.90,4.19,2.91,-2.91,-0.40,1.28,1.29,1.29
1255.22,4.43,3.07,4.43,3.08,-3.09,-0.40,1.34,1.34,1.36
1267.78,4.68,3.27,4.68,3.26,-3.27,-0.39,1.41,1.41,1.41
1280.45,4.93,3.45,4.93,3.45,-3.46,-0.39,1.47,1.47,1.48
1293.26,5.18,3.63,5.18,3.64,-3.64,-0.38,1.54,1.54,1.55
1306.19,5.43,3.83,5.43,3.83,-3.83,-0.38,1.60,1.60,1.60
1319.25,5.68,4.04,5.68,4.03,-4.03,-0.37,1.65,1.65,1.64
1332.45,5.93,4.22,5.93,4.22,-4.22,-0.37,1.71,1.71,1.71
1345.77,6.18,4.40,6.18,4.40,-4.40,-0.36,1.78,1.78,1.78
1359.23,6.43,4.58,6.43,4.58,-4.59,-0.36,1.84,1.85,1.85
1372.82,6.68,4.76,6.67,4.76,-4.76,-0.36,1.91,1.91,1.92
1386.55,6.91,4.93,6.91,4.93,-4.93,-0.35,1.97,1.97,1.98
1400.41,7.12,5.08,7.12,5.09,-5.09,-0.35,2.03,2.03,2.04
1414.42,7.33,5.23,7.33,5.23,-5.24,-0.35,2.09,2.09,2.10
1428.56,7.53,5.37,7.53,5.37,-5.36,-0.34,2.17,2.17,2.16
1442.85,7.73,5.49,7.74,5.49,-5.47,-0.34,2.26,2.26,2.24
1457.28,7.92,5.59,7.91,5.58,-5.57,-0.34,2.35,2.34,2.33
1471.85,8.06,5.65,8.05,5.64,-5.64,-0.34,2.42,2.40,2.41
1486.57,8.14,5.66,8.15,5.67,-5.69,-0.34,2.45,2.45,2.48
1501.43,8.22,5.68,8.22,5.69,-5.72,-0.34,2.50,2.51,2.54
1516.45,8.29,5.70,8.30,5.71,-5.71,-0.34,2.58,2.59,2.59
1531.61,8.37,5.70,8.38,5.71,-5.67,-0.34,2.70,2.70,2.67
1546.93,8.44,5.69,8.41,5.66,-5.61,-0.34,2.83,2.80,2.75
1562.40,8.41,5.56,8.40,5.55,-5.53,-0.34,2.88,2.87,2.85
1578.02,8.33,5.39,8.34,5.41,-5.42,-0.34,2.91,2.92,2.94
1593.80,8.25,5.23,8.26,5.25,-5.29,-0.34,2.96,2.97,3.02
1609.74,8.18,5.10,8.18,5.09,-5.13,-0.34,3.05,3.05,3.08
1625.84,8.09,4.94,8.10,4.95,-4.94,-0.34,3.15,3.16,3.15
1642.10,8.01,4.77,8.00,4.77,-4.73,-0.34,3.27,3.27,3.24
1658.52,7.90,4.57,7.88,4.55,-4.52,-0.34,3.38,3.36,3.33
1675.10,7.73,4.29,7.73,4.30,-4.29,-0.34,3.44,3.44,3.44
1691.85,7.56,4.01,7.56,4.03,-4.05,-0.34,3.50,3.51,3.55
1708.77,7.39,3.76,7.39,3.77,-3.80,-0.34,3.59,3.59,3.63
1725.86,7.23,3.52,7.23,3.53,-3.53,-0.34,3.70,3.70,3.71
1743.12,7.07,3.29,7.07,3.27,-3.26,-0.34,3.81,3.81,3.78
1760.55,6.90,2.99,6.90,3.00,-2.98,-0.34,3.92,3.92,3.91
1778.15,6.73,2.70,6.73,2.70,-2.70,-0.34,4.02,4.02,4.03
1795.94,6.55,2.40,6.55,2.40,-2.42,-0.34,4.13,4.13,4.14
1813.90,6.37,2.10,6.37,2.12,-2.13,-0.34,4.24,4.24,4.26
1832.03,6.20,1.85,6.20,1.85,-1.84,-0.33,4.36,4.35,4.34
1850.36,6.02,1.58,6.02,1.57,-1.55,-0.33,4.47,4.47,4.43
1868.86,5.85,1.28,5.85,1.27,-1.26,-0.32,4.59,4.58,4.57
1887.55,5.68,0.96,5.68,0.96,-0.98,-0.32,4.70,4.70,4.72
1906.42,5.53,0.67,5.53,0.66,-0.70,-0.31,4.83,4.83,4.86
1925.49,5.39,0.38,5.39,0.39,-0.41,-0.30,4.98,4.98,5.01
1944.74,5.25,0.14,5.25,0.14,-0.12,-0.29,5.13,5.13,5.11
1964.19,5.11,-0.09,5.11,-0.12,0.16,-0.28,5.27,5.27,5.20
1983.83,4.97,-0.40,4.97,-0.41,0.44,-0.27,5.41,5.41,5.37
2003.67,4.84,-0.71,4.83,-0.72,0.70,-0.25,5.54,5.54,5.55
2023.71,4.70,-1.03,4.70,-1.01,0.97,-0.24,5.67,5.67,5.73
2043.94,4.58,-1.28,4.59,-1.26,1.23,-0.22,5.81,5.82,5.86
2064.38,4.50,-1.47,4.50,-1.49,1.48,-0.21,5.98,5.98,5.97
2085.03,4.43,-1.68,4.42,-1.71,1.73,-0.19,6.16,6.15,6.11
2105.88,4.35,-1.95,4.35,-1.95,1.97,-0.17,6.32,6.32,6.30
2126.94,4.28,-2.21,4.28,-2.20,2.20,-0.14,6.48,6.48,6.49
2148.20,4.21,-2.45,4.20,-2.43,2.43,-0.12,6.64,6.63,6.66
2169.69,4.13,-2.63,4.13,-2.64,2.64,-0.10,6.77,6.77,6.76
2191.38,4.05,-2.82,4.06,-2.84,2.85,-0.07,6.90,6.91,6.87
2213.30,4.00,-3.06,4.00,-3.06,3.05,-0.04,7.05,7.05,7.06
2235.43,3.97,-3.28,3.97,-3.27,3.24,-0.02,7.21,7.21,7.25
2257.78,3.96,-3.47,3.96,-3.45,3.42,0.01,7.37,7.37,7.43
2280.36,3.96,-3.59,3.95,-3.59,3.59,0.04,7.55,7.54,7.55
2303.17,3.95,-3.70,3.95,-3.71,3.75,0.07,7.70,7.71,7.65
2326.20,3.95,-3.84,3.95,-3.85,3.91,0.10,7.86,7.85,7.79
2349.46,3.94,-4.02,3.93,-4.02,4.05,0.14,7.98,7.98,7.96
2372.95,3.93,-4.21,3.92,-4.20,4.17,0.17,8.10,8.09,8.13
2396.68,3.92,-4.36,3.93,-4.33,4.28,0.21,8.20,8.21,8.27
2420.65,3.95,-4.42,3.96,-4.42,4.38,0.24,8.33,8.34,8.37
2444.86,4.02,-4.46,4.02,-4.48,4.47,0.28,8.49,8.49,8.48
2469.31,4.10,-4.52,4.09,-4.52,4.55,0.31,8.65,8.64,8.62
2494.00,4.17,-4.57,4.17,-4.58,4.61,0.35,8.78,8.78,8.74
2518.94,4.24,-4.64,4.24,-4.63,4.66,0.39,8.90,8.90,8.88
2544.13,4.32,-4.68,4.32,-4.67,4.69,0.43,9.01,9.00,9.00
2569.57,4.39,-4.69,4.38,-4.71,4.71,0.47,9.09,9.09,9.08
2595.27,4.46,-4.72,4.45,-4.72,4.71,0.51,9.17,9.16,9.18
2621.22,4.53,-4.74,4.54,-4.72,4.70,0.55,9.23,9.24,9.27
2647.43,4.66,-4.69,4.66,-4.69,4.66,0.60,9.32,9.32,9.35
2673.90,4.82,-4.62,4.81,-4.62,4.60,0.64,9.42,9.42,9.44
2700.64,4.99,-4.54,4.99,-4.53,4.53,0.68,9.52,9.51,9.52
2727.65,5.16,-4.41,5.16,-4.42,4.43,0.73,9.59,9.60,9.57
2754.93,5.34,-4.29,5.34,-4.30,4.32,0.77,9.66,9.66,9.63
2782.48,5.51,-4.17,5.50,-4.18,4.20,0.82,9.71,9.70,9.68
2810.30,5.68,-4.05,5.68,-4.05,4.06,0.87,9.74,9.74,9.73
2838.40,5.85,-3.92,5.86,-3.91,3.90,0.91,9.75,9.76,9.77
2866.79,6.06,-3.75,6.06,-3.76,3.73,0.96,9.79,9.79,9.81
2895.46,6.28,-3.58,6.28,-3.57,3.55,1.01,9.83,9.83,9.86
2924.41,6.51,-3.37,6.51,-3.37,3.34,1.06,9.85,9.85,9.88
2953.65,6.75,-3.14,6.74,-3.15,3.13,1.11,9.88,9.88,9.88
2983.19,6.97,-2.92,6.98,-2.91,2.91,1.16,9.88,9.89,9.89
3013.02,7.21,-2.66,7.21,-2.67,2.69,1.22,9.90,9.89,9.87
3043.15,7.42,-2.42,7.41,-2.43,2.47,1.27,9.89,9.88,9.84
3073.58,7.61,-2.21,7.60,-2.21,2.25,1.32,9.86,9.85,9.82
3104.32,7.77,-2.02,7.78,-2.02,2.03,1.38,9.80,9.81,9.79
3135.36,7.94,-1.83,7.94,-1.83,1.81,1.43,9.75,9.75,9.77
3166.72,8.10,-1.63,8.10,-1.63,1.59,1.49,9.69,9.68,9.73
3198.38,8.25,-1.43,8.26,-1.43,1.37,1.54,9.62,9.63,9.68
3230.37,8.42,-1.21,8.42,-1.21,1.17,1.60,9.58,9.58,9.63
3262.67,8.58,-0.98,8.59,-0.96,0.97,1.65,9.55,9.56,9.56
3295.30,8.73,-0.74,8.73,-0.74,0.80,1.71,9.53,9.53,9.47
3328.25,8.87,-0.50,8.82,-0.56,0.64,1.77,9.51,9.46,9.37
3361.53,8.84,-0.45,8.85,-0.43,0.50,1.82,9.34,9.35,9.29
3395.15,8.83,-0.37,8.84,-0.36,0.37,1.87,9.20,9.21,9.20
3429.10,8.81,-0.31,8.81,-0.31,0.26,1.93,9.06,9.07,9.12
3463.39,8.80,-0.24,8.80,-0.23,0.15,1.98,8.95,8.95,9.03
3498.03,8.78,-0.15,8.78,-0.15,0.07,2.03,8.84,8.84,8.93
3533.01,8.76,-0.04,8.77,-0.04,-0.00,2.08,8.76,8.76,8.80
3568.34,8.74,0.05,8.75,0.07,-0.05,2.13,8.69,8.70,8.69
3604.02,8.73,0.17,8.72,0.16,-0.08,2.17,8.65,8.64,8.56
3640.06,8.65,0.22,8.63,0.18,-0.09,2.22,8.56,8.54,8.43
3676.46,8.47,0.14,8.45,0.12,-0.07,2.25,8.40,8.39,8.33
3713.22,8.20,-0.04,8.21,-0.00,-0.01,2.29,8.19,8.21,8.23
3750.36,7.93,-0.16,7.94,-0.15,0.09,2.32,8.02,8.04,8.09
3787.86,7.67,-0.28,7.67,-0.28,0.24,2.35,7.90,7.91,7.95
3825.74,7.40,-0.41,7.40,-0.40,0.41,2.38,7.81,7.81,7.81
3864.00,7.13,-0.53,7.12,-0.56,0.61,2.40,7.73,7.72,7.66
3902.64,6.80,-0.75,6.79,-0.76,0.81,2.42,7.61,7.60,7.55
3941.66,6.44,-1.00,6.44,-1.00,1.02,2.43,7.46,7.46,7.44
3981.08,6.07,-1.26,6.07,-1.25,1.22,2.44,7.29,7.29,7.33
4020.89,5.70,-1.49,5.70,-1.49,1.43,2.44,7.13,7.13,7.19
4061.10,5.35,-1.69,5.36,-1.69,1.64,2.44,6.99,7.00,7.04
4101.71,5.03,-1.87,5.04,-1.86,1.85,2.43,6.88,6.89,6.89
4142.73,4.76,-2.00,4.75,-2.02,2.03,2.42,6.79,6.78,6.76
4184.15,4.47,-2.18,4.47,-2.18,2.20,2.40,6.67,6.66,6.64
4226.00,4.19,-2.35,4.19,-2.34,2.34,2.38,6.53,6.53,6.54
4268.26,3.91,-2.50,3.91,-2.50,2.47,2.36,6.38,6.38,6.41
4310.94,3.64,-2.63,3.65,-2.62,2.60,2.33,6.24,6.25,6.27
4354.05,3.42,-2.72,3.42,-2.72,2.73,2.30,6.15,6.14,6.14
4397.59,3.20,-2.81,3.20,-2.81,2.85,2.27,6.05,6.04,6.01
4441.56,2.98,-2.90,2.98,-2.92,2.96,2.23,5.93,5.93,5.88
4485.98,2.76,-3.03,2.75,-3.03,3.05,2.19,5.81,5.80,5.79
4530.84,2.52,-3.17,2.52,-3.15,3.13,2.15,5.65,5.65,5.69
4576.15,2.31,-3.25,2.31,-3.25,3.20,2.10,5.51,5.52,5.56
4621.91,2.12,-3.32,2.13,-3.31,3.27,2.06,5.39,5.40,5.44
4668.13,1.99,-3.33,1.98,-3.34,3.33,2.01,5.32,5.31,5.32
4714.81,1.86,-3.35,1.85,-3.35,3.38,1.96,5.24,5.23,5.20
4761.96,1.73,-3.37,1.73,-3.37,3.42,1.91,5.15,5.15,5.10
4809.58,1.60,-3.40,1.60,-3.40,3.45,1.86,5.05,5.05,5.00
4857.67,1.47,-3.44,1.46,-3.44,3.47,1.81,4.94,4.93,4.91
4906.25,1.33,-3.47,1.32,-3.49,3.47,1.76,4.79,4.79,4.80
4955.31,1.19,-3.52,1.20,-3.50,3.45,1.71,4.64,4.65,4.71
5004.87,1.12,-3.49,1.13,-3.47,3.41,1.66,4.53,4.55,4.61
5054.91,1.12,-3.39,1.12,-3.40,3.36,1.61,4.48,4.48,4.51
5105.46,1.16,-3.27,1.15,-3.28,3.29,1.56,4.45,4.44,4.43
5156.52,1.20,-3.15,1.20,-3.15,3.20,1.51,4.40,4.40,4.35
5208.08,1.24,-3.03,1.24,-3.03,3.10,1.46,4.34,4.34,4.27
5260.16,1.28,-2.92,1.28,-2.91,2.97,1.42,4.25,4.25,4.20
5312.77,1.32,-2.79,1.31,-2.81,2.82,1.37,4.14,4.12,4.11
5365.89,1.37,-2.67,1.35,-2.69,2.64,1.32,4.01,3.99,4.04
5419.55,1.41,-2.55,1.45,-2.51,2.44,1.28,3.85,3.89,3.96
5473.75,1.61,-2.27,1.63,-2.26,2.21,1.24,3.82,3.84,3.88
5528.49,1.90,-1.93,1.88,-1.95,1.95,1.20,3.85,3.82,3.83
5583.77,2.18,-1.58,2.17,-1.60,1.64,1.15,3.82,3.81,3.76
5639.61,2.47,-1.23,2.46,-1.24,1.28,1.11,3.75,3.74,3.70
5696.00,2.77,-0.88,2.78,-0.86,0.86,1.08,3.63,3.64,3.65
5752.96,3.15,-0.44,3.15,-0.44,0.38,1.04,3.53,3.53,3.59
5810.49,3.59,0.07,3.55,0.02,-0.14,1.00,3.45,3.41,3.52
5868.60,4.04,0.57,4.03,0.56,-0.67,0.97,3.37,3.36,3.47
5927.28,4.58,1.17,4.59,1.17,-1.22,0.93,3.36,3.37,3.41
5986.56,5.25,1.88,5.20,1.83,-1.79,0.90,3.46,3.41,3.37
6046.42,5.95,2.63,5.78,2.45,-2.37,0.87,3.58,3.42,3.32
6106.89,6.45,3.17,6.26,2.97,-2.91,0.84,3.54,3.35,3.27
6167.96,6.80,3.55,6.56,3.30,-3.37,0.81,3.43,3.19,3.25
6229.64,7.14,3.93,6.89,3.67,-3.74,0.78,3.40,3.15,3.21
6291.93,7.51,4.33,7.29,4.10,-3.98,0.75,3.52,3.31,3.17
6354.85,8.32,5.19,7.53,4.38,-4.11,0.72,4.21,3.42,3.12
6418.40,8.51,5.42,7.44,4.33,-4.12,0.70,4.39,3.32,3.09
6482.58,7.88,4.82,6.98,3.90,-4.04,0.67,3.83,2.93,3.06
6547.41,7.22,4.19,6.05,3.01,-3.89,0.64,3.33,2.16,3.03
6612.88,6.37,3.37,4.89,1.88,-3.67,0.62,2.70,1.21,3.00
6679.01,4.98,2.01,3.63,0.66,-3.40,0.60,1.58,0.23,2.97
6745.80,3.53,0.58,2.34,-0.59,-3.09,0.57,0.44,-0.75,2.95
6813.26,2.15,-0.77,1.16,-1.71,-2.80,0.55,-0.65,-1.63,2.92
6881.39,0.87,-2.03,0.24,-2.57,-2.52,0.53,-1.65,-2.28,2.90
6950.21,-0.23,-3.10,-0.44,-3.19,-2.26,0.51,-2.49,-2.70,2.87
7019.71,-1.07,-3.93,-0.91,-3.59,-2.01,0.49,-3.08,-2.92,2.86
7089.91,-1.83,-4.67,-1.24,-3.83,-1.75,0.47,-3.58,-2.98,2.84
7160.81,-2.50,-5.32,-1.46,-3.96,-1.49,0.45,-3.99,-2.95,2.82
7232.41,-3.19,-5.98,-1.60,-4.01,-1.23,0.43,-4.42,-2.83,2.79
7304.74,-3.73,-6.49,-1.69,-4.00,-0.97,0.42,-4.70,-2.67,2.76
7377.79,-4.23,-6.95,-1.75,-3.96,-0.71,0.40,-4.94,-2.47,2.72
7451.56,-4.74,-7.43,-1.78,-3.88,-0.45,0.38,-5.20,-2.24,2.69
7526.08,-5.12,-7.77,-1.80,-3.79,-0.20,0.36,-5.32,-1.99,2.65
7601.34,-5.27,-7.89,-1.81,-3.70,0.06,0.35,-5.21,-1.75,2.61
7677.35,-5.42,-7.99,-1.82,-3.61,0.32,0.33,-5.10,-1.50,2.57
7754.13,-5.56,-8.08,-1.84,-3.52,0.58,0.31,-4.98,-1.26,2.52
7831.67,-5.67,-8.10,-1.86,-3.44,0.84,0.30,-4.83,-1.03,2.43
7909.98,-5.52,-7.86,-1.89,-3.36,1.10,0.28,-4.42,-0.79,2.34
7989.08,-5.31,-7.57,-1.92,-3.28,1.38,0.26,-3.93,-0.54,2.26
8068.98,-5.10,-7.27,-1.95,-3.21,1.67,0.25,-3.43,-0.28,2.16
8149.67,-4.89,-6.97,-1.98,-3.14,1.93,0.23,-2.96,-0.05,2.07
8231.16,-4.54,-6.50,-2.02,-3.07,2.17,0.22,-2.37,0.16,1.96
8313.47,-4.12,-5.97,-2.05,-2.99,2.38,0.20,-1.75,0.33,1.85
8396.61,-3.71,-5.43,-2.08,-2.92,2.53,0.18,-1.18,0.45,1.72
8480.57,-3.32,-4.88,-2.11,-2.84,2.64,0.17,-0.68,0.53,1.56
8565.38,-3.13,-4.53,-2.14,-2.76,2.70,0.15,-0.44,0.55,1.40
8651.03,-3.03,-4.26,-2.18,-2.69,2.70,0.14,-0.33,0.53,1.23
8737.54,-2.93,-4.01,-2.21,-2.61,2.67,0.12,-0.26,0.46,1.08
8824.92,-2.84,-3.79,-2.25,-2.54,2.60,0.11,-0.24,0.35,0.95
8913.17,-2.75,-3.56,-2.29,-2.47,2.51,0.09,-0.24,0.22,0.81
9002.30,-2.84,-3.46,-2.33,-2.39,2.41,0.07,-0.43,0.08,0.62
9092.32,-3.00,-3.42,-2.38,-2.32,2.32,0.06,-0.68,-0.05,0.42
9183.25,-3.15,-3.38,-2.42,-2.25,2.25,0.04,-0.90,-0.17,0.23
9275.08,-3.29,-3.34,-2.47,-2.19,2.18,0.02,-1.11,-0.29,0.05
9367.83,-3.42,-3.33,-2.52,-2.12,2.12,0.01,-1.30,-0.41,-0.09
9461.51,-3.56,-3.34,-2.57,-2.05,2.05,-0.01,-1.51,-0.52,-0.22
9556.12,-3.68,-3.27,-2.63,-1.98,1.98,-0.03,-1.70,-0.65,-0.41
9651.68,-3.81,-3.18,-2.68,-1.92,1.92,-0.04,-1.90,-0.77,-0.63
9748.20,-3.92,-3.08,-2.74,-1.85,1.85,-0.06,-2.07,-0.89,-0.84
9845.68,-4.02,-3.01,-2.80,-1.79,1.79,-0.08,-2.23,-1.01,-1.01
9944.14,-4.13,-2.97,-2.85,-1.73,1.73,-0.09,-2.40,-1.12,-1.16
10043.58,-4.22,-2.91,-2.90,-1.66,1.67,-0.11,-2.55,-1.22,-1.31
10144.02,-4.32,-2.80,-2.97,-1.61,1.62,-0.13,-2.70,-1.35,-1.52
10245.46,-4.41,-2.69,-3.04,-1.57,1.57,-0.15,-2.84,-1.47,-1.72
10347.91,-4.51,-2.57,-3.11,-1.52,1.52,-0.17,-3.00,-1.60,-1.94
10451.39,-4.60,-2.52,-3.18,-1.47,1.46,-0.19,-3.14,-1.72,-2.08
10555.91,-4.68,-2.47,-3.25,-1.42,1.41,-0.21,-3.27,-1.84,-2.21
